,Comment,Likes,Time,user,UserLink
322,Suns 4 game losing streak,2,10 hours ago,,
323,"SUNS, ya’ll slipped in the 3rd and OT. If you’re having problem bring in some Golds.",0,5 hours ago,,
324,They made luka mad they lossTheyade zionad they lossSuns gotta stop acting tough,1,1 hour ago,,
325,Zion is the best young player for sure,1,9 hours ago,,
326,Zion should dunk it 360°at the final seconds as a show of respect to the fans,0,9 hours ago,,
327,What a game!this is nba!.!!,0,6 hours ago,,
328,Zion needs to start working on that jump  shot. They were building a wall. Yes he still can't be stopped but that will go south once playoffs come.,0,5 hours ago,,
329,It’s time to put Zion Top 10,0,8 hours ago,,
330,Fans really fat-shamed Zion to the 1st seed.,1,9 hours ago,,
331,If Zion stays healthy for a couple of seasons he will win the MVP. His team is number 1 in the west so to me he should be second to Tatum cause Boston is first in the east or Giannis with the bucks at second,0,6 hours ago,,
332,Remember when he was bullying kids in high school and everyone was like “he ain’t gonna do that in the league”. . Good call,0,3 hours ago,,
333,Can't wait to see Ye rocking a Zion jersey,0,8 hours ago,,
334,Phoenix son's of Zion,2,6 hours ago,,
335,CJ Zion Ingram can easily get to a WCF if all healthy in sync that's 25 25 30 pts a game,2,10 hours ago,,
336,If ONLY SUNS GET KAI SOTTO IN THEIR LINEUP THEY WILL BEAT PELICANS FOR SURE..,0,5 hours ago,,
337,I love it when they boo CP3,0,7 hours ago,,
338,"Zion forgets but never forgives until you remind him what happened last year so he wants to smoke them everytime he play them and he did it again , Zion will do anything to eliminate the suns in the playoffs , this boy is on a mission...",0,3 hours ago,,
339,pels going hard rn,0,2 hours ago,,
340,I’m afraid Zion won’t stay healthy.  I love watching him but he puts so much strain on his legs,0,9 hours ago,,
341,Zion is a big big big problem! If he can master a nice mid range jumper there would be nothing you could do with him.,0,4 hours ago,,
342,Zion moves bodies.,0,4 hours ago,,
343,Good game by the short handed suns. Glad to see Ayton & Bridges playing great.,1,9 hours ago,,
344,Pelican crazy dangerous this season. Ingram is not even playing.,0,7 hours ago,,
345,This is beautiful,0,9 hours ago,,
346,This is all with their second best player BI.,0,9 hours ago,,
347,What an unlikely rivalry.,0,8 hours ago,,
348,NBA need to get the 720p it’s annoying not seeing a good clear game of highlights,1,9 hours ago,,
349,The Suns tend to fold under pressure,0,6 hours ago,,
350,Pelicans are stacked. Deepest bench in the league.,0,8 hours ago,,
351,Zion Williamson:35pts8 Rebs3 Asts1 Steal,1,10 hours ago,,
352,you've nvr seen a guy that big go     anywhere         anytime.,0,9 hours ago,,
353,"Shame he didn't dunk it again, I would have been a Zion fan for the next 10 years.",0,9 hours ago,,
354,Yea the pels are nice w it,0,9 hours ago,,
355,Damn Z is so smooth,0,7 hours ago,,
356,imagine if AD never leaved this team with AD will be the best team on the league,0,9 hours ago,,
357,to think the suns were a Finals caliber team.,0,8 hours ago,,
358,They for REAL Man... New Orleans is a good team,0,10 hours ago (edited),,
359,Zion vs Giannis and Zion vs Simmons will be very physical,1,1 hour ago,,
360,Pelicans would’ve beaten them last year if Zion was playing easily,1,2 hours ago,,
361,Here fa Zion and  CJ,1,7 hours ago (edited),,
362,"So glad seeing Mikal Bridges being humbled, and the whole Zion Suns team.",0,6 hours ago,,
363,Don’t tell me Chris Paul will be mad again?,0,8 hours ago,,
364,Why is the game faster than regular speed?,0,8 hours ago,,
365,"Several thoughts1.  Landale played 20 minutes and Biyombo did not even play.  Is Landale that much better than Biyombo?2.  Image how good the the Pelicans when Brandon Ingram comes back.  However can Zion stay healthy?3.  The way the Phoenix suns, even with the injury of Booker, they will not do well in the playoffs.",0,8 hours ago,,
366,They booed CP3 after all the things he did for New Orleans ? Very classy,0,5 hours ago,,
367,Its crazy to think McCollum might win a chip before Lillard.,0,9 hours ago,,
368,Should have 360'd again at the end there.,1,8 hours ago,,
369,i am so bummed as a blazer fan watching CJ and Larry Navy JR ball the fuck out,1,9 hours ago,,
370,I was waiting for another 360 Windmill,0,6 hours ago,,
371,GET OWNED SUNS!!!!,0,8 hours ago,,
372,It should not have been an overtime. Look at CP3's foot. He stepped too many times then shot the ball. How is that not a travel?,1,7 hours ago (edited),,
373,Zion is the suns DADDY,1,10 hours ago,,
374,Pelicans needs another solid backup point guard. Rose is available they can get him. If they want to go below they get IT  for free and try him for 10 day contract.,0,6 hours ago (edited),,
375,"Even without booker, they went to overtime. This would be a 15 point win with booker in",0,5 hours ago (edited),,
376,Its like the suns play older brother and feels so disgusted being out played by younger brother. Not once buy twice. Lol,0,9 hours ago,,
377,"Too strong for a wing to guard him, and too quick for a big to guard him. How do you guard Zion?",1,9 hours ago,,
378,Lol Devin Booker was too scared to show up,0,10 hours ago,,
